0,1,啊,a,auxiliary word
1,2,爱情,àiqíng,Love
2,3,爱人,ài rén,lover
3,4,安静,ānjìng,Be quiet
4,5,安全,ānquán,security
5,6,白色,bái sè,white
6,7,班长,bān zhǎng,monitor; squad leader
7,8,办,bàn,do
8,9,办法,bànfǎ,Way
9,10,办公室,bàngōngshì,Office
10,11,半夜,bàn yè,midnight
11,12,帮助,bāngzhù,Help
12,13,饱,bǎo,full
13,14,报名,bàomíng,sign up
14,15,报纸,bàozhǐ,Newspaper
15,16,北方,běifāng,north
16,17,背（动）,bēi,carry on the back; shoulder
17,18,比如,bǐrú,such as
18,19,比如说,bǐ rú shuō,for example
19,20,笔,bǐ,pen
20,21,笔记,bǐ jì,note; notes
21,22,笔记本,bǐjìběn,Notebook
22,23,必须,bìxū,Must
23,24,边,biān,side
24,25,变,biàn,change
25,26,变成,biàn chéng,become; change into
26,27,遍,biàn,Times
27,28,表,biǎo,watch
28,29,表示,biǎoshì,Express
29,30,不错,bú cuò,not bad; pretty good
30,31,不但,bú dàn,not only
31,32,不够,bú gòu,not enough
32,33,不过,búguò,However
33,34,不太,bú tài,not too; not very much
34,35,不要,bú yào,don’t
35,36,不好意思,bù hǎo yì sī,sorry; feel embarrassed
36,37,不久,bù jiǔ,soon
37,38,不满,bù mǎn,dissatisfied
38,39,不如,bùrú,not as good as
39,40,不少,bù shǎo,not a few; a lot
40,41,不同,bù tóng,different
41,42,不行,bù xíng,no way; be out of the question
42,43,不一定,bù yī dìng,not necessarily; uncertain
43,44,不一会儿,bù yī huìr,in a moment; in a little while;  soon
44,45,部分,bùfen,Part
45,46,才（副）,cái,only; just
46,47,菜单,càidān,menu
47,48,参观,cānguān,visit
48,49,参加,cānjiā,participate in
49,50,草,cǎo,grass
50,51,草地,cǎo dì,grass; lawn
51,52,层,céng,layer
52,53,查,chá,search; check
53,54,差不多,chàbuduō,Almost
54,55,长,cháng,long
55,56,常见,cháng jiàn,common
56,57,常用,cháng yòng,in common use
57,58,场,chǎng,site
58,59,超过,chāoguò,Exceed
59,60,超市,chāoshì,Supermarket
60,61,车辆,chē liàng,car; vehicle
61,62,称¹（动）,chēng,call; say
62,63,成（动）,chéng,become; finish
63,64,成绩,chéngjì,achievement
64,65,成为,chéngwéi,Become
65,66,重复,chóngfù,repeat
66,67,重新,chóngxīn,again
67,68,出发,chūfā,Set out
68,69,出国,chū guó,go abroad
69,70,出口（名）,chū kǒu,export
70,71,出门,chū mén,go out
71,72,出生,chūshēng,Birth
72,73,出现,chūxiàn,Appear
73,74,出院,chū yuàn,discharged; leave hospital
74,75,出租,chū zū,rent
75,76,出租车,chūzūchē,Taxi
76,77,船,chuán,ship
77,78,吹,chuī,blow
78,79,春节,chūn jié,Spring Festival; Chinese New  Year
79,80,春天,chūn tiān,spring
80,81,词,cí,word
81,82,词典,cídiǎn,Dictionary
82,83,词语,cíyǔ,terms
83,84,从小,cóng xiǎo,from childhood
84,85,答应,dāying,promise
85,86,打工,dǎgōng,Work
86,87,打算,dǎsuàn,Plan
87,88,打印,dǎyìn,Print
88,89,大部分,dà bù fèn,most
89,90,大大,dà dà,greatly; enormously
90,91,大多数,dà duō shù,most; great majority
91,92,大海,dà hǎi,sea
92,93,大家,dàjiā,everybody
93,94,大量,dà liàng,a lot of; lots of
94,95,大门,dà mén,door; gate
95,96,大人,dà rén,adult
96,97,大声,dà shēng,loud
97,98,大小,dà xiǎo,size
98,99,大衣,dà yī,overcoat
99,100,大自然,dà zì rán,nature
100,101,带,dài,belt
101,102,带来,dài lái,bring
102,103,单位,dānwèi,Company
103,104,但,dàn,but; however
104,105,但是,dàn shì,but; however
105,106,蛋,dàn,egg
106,107,当,dāng,When
107,108,当时,dāngshí,at that time
108,109,倒,dǎo,"fall, topple, fail"
109,110,到处,dàochù,everywhere
110,111,倒,dào,inverted
111,112,道,dào,road; way; path
112,113,道理,dàolǐ,truth
113,114,道路,dào lù,road; way; path
114,115,得,dé,get
115,116,得出,dé chū,obtain results; reach conclusion
116,117,的话,de huà,if
117,118,得,de,auxiliary verb
118,119,灯,dēng,lamp
119,120,等（助、名）,děng,etc.; and so on
120,121,等到,děng dào,wait until; by the time
121,122,等于,děngyú,Be equal to
122,123,低,dī,low
123,124,地球,dìqiú,earth
124,125,地铁,dìtiě,metro
125,126,地铁站,dì tiě zhàn,subway station
126,127,点头,diǎn tóu,nod
127,128,店,diàn,shop; store
128,129,掉,diào,fall
129,130,东北,dōng běi,northeast
130,131,东方,dōng fāng,east
131,132,东南,dōng nán,southeast
132,133,冬天,dōng tiān,winter
133,134,懂,dǒng,understand
134,135,懂得,dǒng de,know; understand; comprehend
135,136,动物,dòngwù,Animal
136,137,动物园,dòng wù yuán,zoo
137,138,读音,dú yīn,pronunciation
138,139,度,dù,degree; limit
139,140,短,duǎn,short
140,141,短信,duǎnxìn,message
141,142,段,duàn,paragraph
142,143,队,duì,team
143,144,队长,duì zhǎng,team leader; captain
144,145,对（介、动）,duì,to; at; face; be opposite;  answer
145,146,对话,duìhuà,dialogue
146,147,对面,duìmiàn,Opposite side
147,148,多（副）,duō,much more; far more
148,149,多久,duō jiǔ,how long
149,150,多么,duōme,what
150,151,多数,duō shù,most; majority
151,152,多云,duō yún,cloudy
152,153,而且,ér qiě,and
153,154,发,fā,send out
154,155,发现,fāxiàn,find
155,156,饭馆,fàn guǎn,restaurant
156,157,方便,fāngbiàn,convenient
157,158,方便面,fāng biàn miàn,Instant noodles
158,159,方法,fāngfǎ,Method
159,160,方面,fāngmiàn,Aspect
160,161,方向,fāngxiàng,direction
161,162,放下,fàng xià,put down; lay down; drop
162,163,放心,fàngxīn,Don’t worry
163,164,分（动）,fēn,divide; part; distribute
164,165,分开,fēn kāi,separate; part
165,166,分数,fēn shù,score; mark; fraction
166,167,分钟,fēnzhōng,Minute
167,168,份,fèn,share
168,169,封（量）,fēng,(measure word)
169,170,服务,fú wù,service
170,171,复习,fùxí,Review
171,172,该（动）,gāi,deserve; should; owe
172,173,改,gǎi,change; correct; revise; switch  over
173,174,改变,gǎibiàn,change
174,175,干杯,gānbēi,Cheers!
175,176,感到,gǎn dào,feel; sense
176,177,感动,gǎndòng,Be moved
177,178,感觉,gǎnjué,feel
178,179,感谢,gǎnxiè,Thank
179,180,干活儿,gànhuór,work on a job
180,181,刚,gāng,just
181,182,刚才,gāngcái,just
182,183,刚刚,gāng gāng,just; only; just a moment ago
183,184,高级,gāojí,senior
184,185,高中,gāo zhōng,senior high school
185,186,个子,gèzi,Height
186,187,更,gèng,more
187,188,公共汽车,gōnggòngqìchē,Bus
188,189,公交车,gōng jiāo chē,bus
189,190,公斤,gōngjīn,Kg.
190,191,公里,gōnglǐ,kilometre
191,192,公路,gōng lù,highway; highroad
192,193,公平,gōngpíng,fair
193,194,公司,gōngsī,company
194,195,公园,gōngyuán,Park
195,196,狗,gǒu,Dog
196,197,够,gòu,enough
197,198,故事,gùshi,Story
198,199,故意,gùyì,deliberately
199,200,顾客,gùkè,customer
200,201,关机,guān jī,shutdown
201,202,关心,guānxīn,Care for
202,203,观点,guāndiǎn,viewpoint
203,204,广场,guǎngchǎng,square
204,205,广告,guǎnggào,Advertisement
205,206,国际,guójì,international
206,207,过来,guò lái,come; come over
207,208,过年,guò nián,celebrate the New Year
208,209,过去（动）,guò qù,go over; pass by
209,210,过,guò,cross; pass; spend; live
210,211,海,hǎi,sea
211,212,海边,hǎi biān,seaside
212,213,喊,hǎn,shout
213,214,好（副）,hǎo,well; fine; okay
214,215,好处,hǎochu,benefit
